URBAN GRAVITY ENGINE 7.0 - MASTER AGGREGATED AUDIT
Standard: Strict English | Transit-Focused Hierachy | No Noise
=========================================================================================================

CITY: WARSZAWA
Service Category (EN)               | Tier                 | Cnt   | Avg Value      
---------------------------------------------------------------------------------------------------------
international_airport               | T0_MEGA_HUB          |     1 |     30858048505
national_rail_hub                   | T0_MEGA_HUB          |     2 |      5723776409
regional_rail_hub                   | T1_NATIONAL_MAGNET   |    19 |      1085619999
hospital_clinical                   | T1_NATIONAL_MAGNET   |    22 |       236302518
university_campus                   | T1_NATIONAL_MAGNET   |    64 |       156730808
national_stadium                    | T1_NATIONAL_MAGNET   |    18 |        21783197
education_high_school               | T2_STRATEGIC_HUB     |   428 |        16607131
shopping_mall                       | T2_STRATEGIC_HUB     |   110 |        15610576
government_central                  | T2_STRATEGIC_HUB     |    45 |        11833922
suburban_rail_stop                  | T3_LOCAL_CORE        |     2 |        11447553
supermarket                         | T2_STRATEGIC_HUB     |   376 |        10703381
local_airfield                      | T3_LOCAL_CORE        |     5 |         2851870
education_preschool                 | T3_LOCAL_CORE        |   368 |         1207293
social_support_mops                 | T3_LOCAL_CORE        |    93 |         1196302
sports_centre                       | T3_LOCAL_CORE        |    84 |          987340
culture_theatre                     | T3_LOCAL_CORE        |   140 |          879154
health_clinic                       | T3_LOCAL_CORE        |   719 |          733425
place_of_worship                    | T4_DAILY_SERVICE     |   323 |          112673
post_office                         | T4_DAILY_SERVICE     |   183 |           72320
bank                                | T4_DAILY_SERVICE     |   249 |           69979
convenience_store                   | T4_DAILY_SERVICE     |  1281 |           67893
pharmacy                            | T4_DAILY_SERVICE     |   377 |           67689
park_recreation                     | T4_DAILY_SERVICE     |  1695 |           10954
business_office                     | T5_SPEC_GASTRO       |   409 |            7867
gastronomy                          | T5_SPEC_GASTRO       |  2071 |            6731
personal_services                   | T5_SPEC_GASTRO       |  1195 |            6575
micro_playground                    | T6_MICRO_INFRA       |  2381 |              93
micro_atm                           | T6_MICRO_INFRA       |   536 |              67
micro_parcel_locker                 | T6_MICRO_INFRA       |  1485 |              65

=========================================================================================================

CITY: BIALYSTOK
Service Category (EN)               | Tier                 | Cnt   | Avg Value      
---------------------------------------------------------------------------------------------------------
national_rail_hub                   | T0_MEGA_HUB          |     1 |      5241465880
regional_rail_hub                   | T1_NATIONAL_MAGNET   |     9 |       994761541
hospital_clinical                   | T1_NATIONAL_MAGNET   |    12 |       187263203
university_campus                   | T1_NATIONAL_MAGNET   |    34 |       119638294
national_stadium                    | T1_NATIONAL_MAGNET   |     8 |        17452675
education_high_school               | T2_STRATEGIC_HUB     |   159 |        15876723
shopping_mall                       | T2_STRATEGIC_HUB     |    41 |        15202106
student_dormitory                   | T2_STRATEGIC_HUB     |     9 |        13659127
government_central                  | T2_STRATEGIC_HUB     |    21 |        11040435
supermarket                         | T2_STRATEGIC_HUB     |   171 |         9800747
local_airfield                      | T3_LOCAL_CORE        |     3 |         2303998
education_preschool                 | T3_LOCAL_CORE        |   177 |         1056061
social_support_mops                 | T3_LOCAL_CORE        |    48 |         1046775
sports_centre                       | T3_LOCAL_CORE        |    25 |          959077
culture_theatre                     | T3_LOCAL_CORE        |    49 |          814364
health_clinic                       | T3_LOCAL_CORE        |   223 |          718028
place_of_worship                    | T4_DAILY_SERVICE     |   248 |           90763
bank                                | T4_DAILY_SERVICE     |    82 |           68135
post_office                         | T4_DAILY_SERVICE     |    66 |           67342
convenience_store                   | T4_DAILY_SERVICE     |   414 |           66537
pharmacy                            | T4_DAILY_SERVICE     |   160 |           62211
park_recreation                     | T4_DAILY_SERVICE     |   155 |           15302
business_office                     | T5_SPEC_GASTRO       |   172 |            8537
gastronomy                          | T5_SPEC_GASTRO       |   373 |            6530
personal_services                   | T5_SPEC_GASTRO       |   231 |            6196
micro_playground                    | T6_MICRO_INFRA       |   674 |              82
micro_atm                           | T6_MICRO_INFRA       |   140 |              62
micro_parcel_locker                 | T6_MICRO_INFRA       |   451 |              60

=========================================================================================================

