teryt_code,county_name,stop_count
1803,powiat dębicki,22
1820,powiat tarnobrzeski,22
2216,powiat sztumski,22
0203,powiat głogowski,21
0418,powiat włocławski,21
3022,powiat rawicki,21
2605,powiat konecki,21
0215,powiat oławski,21
3205,powiat gryficki,21
1415,powiat ostrołęcki,21
1203,powiat chrzanowski,20
1435,powiat wyszkowski,20
1807,powiat krośnieński,20
1610,powiat prudnicki,20
0212,powiat lwówecki,20
0606,powiat krasnostawski,20
2461,powiat Bielsko-Biała,20
1809,powiat lubaczowski,19
1608,powiat oleski,19
3006,powiat jarociński,19
0410,powiat nakielski,19
1012,powiat radomszczański,19
2811,powiat nidzicki,19
2607,powiat ostrowiecki,19
0401,powiat aleksandrowski,19
1817,powiat sanocki,18
2007,powiat łomżyński,18
0462,powiat Grudziądz,18
2812,powiat nowomiejski,18
2802,powiat braniewski,18
3028,powiat wągrowiecki,18
1262,powiat Nowy Sącz,18
2208,powiat lęborski,17
0810,powiat żagański,17
0201,powiat bolesławiecki,17
1802,powiat brzozowski,17
1410,powiat łosicki,17
2010,powiat siemiatycki,17
1406,powiat grójecki,17
0207,powiat kamiennogórski,16
0615,powiat radzyński,16
0265,powiat Wałbrzych,16
3001,powiat chodzieski,16
0613,powiat parczewski,16
1420,powiat płoński,16
0616,powiat rycki,15
0610,powiat łęczyński,15
2409,powiat myszkowski,15
1427,powiat sierpecki,15
1416,powiat ostrowski,15
0406,powiat grudziądzki,15
1004,powiat łęczycki,14
3009,powiat kolski,14
1019,powiat zduńskowolski,14
1605,powiat krapkowicki,14
0204,powiat górowski,14
1217,powiat tatrzański,14
3008,powiat kępiński,13
2609,powiat sandomierski,13
1413,powiat mławski,13
1422,powiat przasnyski,13
1423,powiat przysuski,13
1017,powiat wieluński,13
1202,powiat brzeski,13
1402,powiat ciechanowski,13
3216,powiat świdwiński,13
1814,powiat przeworski,13
0862,powiat Zielona Góra,13
1201,powiat bocheński,13
0807,powiat sulęciński,12
1606,powiat namysłowski,12
0210,powiat lubański,12
0664,powiat Zamość,12
2406,powiat kłobucki,12
2608,powiat pińczowski,12
0408,powiat lipnowski,12
0602,powiat biłgorajski,12
0222,powiat wołowski,12
1861,powiat Krosno,11
0213,powiat milicki,11
1430,powiat szydłowiecki,11
0402,powiat brodnicki,11
1433,powiat węgrowski,11
3023,powiat słupecki,11
3061,powiat Kalisz,10
3020,powiat pleszewski,10
0404,powiat chełmiński,10
0464,powiat Włocławek,10
1063,powiat Skierniewice,10
0804,powiat nowosolski,10
0417,powiat wąbrzeski,10
1864,powiat Tarnobrzeg,10
1407,powiat kozienicki,10
3261,powiat Koszalin,10
2004,powiat grajewski,10
2201,powiat bytowski,9
0217,powiat strzeliński,9
1464,powiat Siedlce,9
2606,powiat opatowski,9
3010,powiat koniński,8
0604,powiat hrubieszowski,8
0662,powiat Chełm,8
2263,powiat Słupsk,8
0405,powiat golubsko-dobrzyński,7
0661,powiat Biała Podlaska,7
1263,powiat Tarnów,7
0409,powiat mogileński,7
1404,powiat gostyniński,7
3018,powiat ostrzeszowski,7
3007,powiat kaliski,6
0812,powiat wschowski,6
1419,powiat płocki,6
1462,powiat Płock,6
0205,powiat jaworski,6
1013,powiat rawski,5
3062,powiat Konin,5
0216,powiat polkowicki,4
1062,powiat Piotrków Trybunalski,4
1461,powiat Ostrołęka,4
1401,powiat białobrzeski,4
0411,powiat radziejowski,3
3210,powiat myśliborski,3
2009,powiat sejneński,3
0605,powiat janowski,3
2801,powiat bartoszycki,3
1018,powiat wieruszowski,3
2601,powiat buski,3
0412,powiat rypiński,3
1424,powiat pułtuski,2
1209,powiat myślenicki,2
2813,powiat olecki,1
